Matrix Size | Threads | Avg Sequential Time (ns) | Avg Parallel Time (ns)
1000x1000 | 2 | 18693830 | 15401450
1000x1000 | 4 | 19162960 | 15204360
1000x1000 | 8 | 20060910 | 34360430
1000x1000 | 16 | 18739710 | 32590190
1000x1000 | 16 | 18930630 | 33264290
10000x10000 | 2 | 1401649420 | 932106330
10000x10000 | 4 | 1424308230 | 516901660
10000x10000 | 8 | 1425900850 | 279889220
10000x10000 | 16 | 1461912000 | 177768000
1000x1000 | 4 | 18407460 | 14785030
1000x1000 | 8 | 18642480 | 33737630
1000x1000 | 16 | 18401720 | 33153030
